company_code,Customer Name,Phone number,rie_id,age_in_days,Current AR
US001,"Webb,Elizabeth",509-532-7797,1435,40,8250.00
US001,"Wells,John",253-565-8598,1483,46,12100.00
US001,"White,Gerald",509-149-1964,1689,18,34650.00
US001,"White,Gregory",509-474-8902,620,42,37290.00
US001,"Whitehead,Kenneth",509-839-3023,1251,40,36190.00
US001,"White,Rose",509-474-9226,805,24,31240.00
US001,"Wilcox,Joseph",509-587-6839,1296,24,18370.00
US001,"Wilkins,Walter",360-980-1866,1335,27,1650.00
US001,"Wilkins,Walter",360-980-1866,456,39,18810.00
US001,"Williams,Andrea",206-962-1097,223,32,10890.00
US001,"Williams,Charles",206-422-9866,2050,26,440.00
US001,"Williams,Christopher",206-324-7976,2250,33,29260.00
US001,"Williams,Doris",206-348-7174,540,43,18150.00
US001,"Williams,Harold",206-960-5248,1588,17,14630.00
US001,"Williams,Jean",206-841-1944,175,34,28820.00
US001,"Williams,Larry",206-156-6978,1693,37,6600.00
US001,"Williams,Mary",206-416-7226,221,29,44110.00
US001,"Williams,Mary",206-416-7226,1771,21,33000.00
US001,"Williams,Ronald",206-521-7864,734,35,770.00
US001,"Wilson,Catherine",253-992-5038,2226,44,21120.00
US001,"Wilson,John",253-466-3814,347,19,18480.00
US001,"Wilson,Linda",253-216-4107,2350,29,26840.00
US001,"Wilson,Mark",253-491-8706,344,22,46420.00
US001,"Wilson,Randy",253-727-3792,169,44,44880.00
US001,"Wood,Mary",425-503-4443,1942,45,2640.00
US001,"Wood,Melissa",425-322-9422,1280,45,34650.00
US001,"Wood,Melissa",425-322-9422,1088,18,50820.00
US001,"Woods,Gregory",253-637-4094,2065,37,5280.00
US001,"Woods,James",253-429-9705,337,46,32010.00
US001,"Woods,William",253-166-3984,78,22,26400.00
US001,"Wright,Laura",425-939-9055,1826,30,3960.00
US001,"Wynn,Joseph",509-241-6823,1312,33,26400.00
